turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,minimax,"[1, 6]","[7, 0] -> [6, 0]",Up,"[7, 6] -> [8, 6]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
2,p2,greedy,"[-2, -3]","[0, 2] -> [1, 2]",Down,"[2, 2] -> [3, 1]",Down-Left,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
3,p1,minimax,"[1, 3]","[6, 0] -> [5, 0]",Up,"[6, 2] -> [5, 2]",Up,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
4,p2,greedy,"[-4, -5]","[0, 4] -> [1, 4]",Down,"[2, 4] -> [3, 4]",Down,0,0,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
5,p1,minimax,"[1, 3]","[5, 0] -> [6, 0]",Down,"[5, 2] -> [6, 2]",Down,0,0,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
6,p2,greedy,"[-3, -5]","[3, 1] -> [3, 2]",Right,"[3, 4] -> [4, 4]",Down,0,0,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
7,p1,minimax,"[3, 5]","[6, 2] -> [5, 2]",Up,"[6, 4] -> [5, 4]",Up,0,0,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  3  0  5  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
8,p2,greedy,"[-5, -4]","[4, 4] -> [5, 3]",Down-Left,"[1, 4] -> [0, 4]",Up,0,1,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3 -5  5  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
9,p1,minimax,"[1, 2]","[6, 0] -> [5, 0]",Up,"[8, 2] -> [7, 2]",Up,0,1,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3 -5  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  0  0] | [ 0  0  0  0  4  0  6]
10,p2,greedy,"[-3, -2]","[3, 2] -> [2, 2]",Up,"[1, 2] -> [0, 2]",Up,0,1,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3 -5  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  0  0] | [ 0  0  0  0  4  0  6]
